Comorbidity,Read V2 5B code,Read term
Painful condition meds,j2pR ,LLOYDS PHARMACY IBUPROFEN FOR CHILDREN 100mg/5mL s/f susp
Painful condition meds,j2pS ,NUROFEN TENSION HEADACHE 200mg tablets
Painful condition meds,j2pT ,SOLPADEINE MIGRAINE IBUPROFEN & CODEINE tablets
Painful condition meds,j2pU ,NUROFEN MAXIMUM STRENGTH MIGRAINE PAIN 400mg Caplets
Painful condition meds,j2pV ,NUROFEN EXTRA STRENGTH 400mg liquid capsules
Painful condition meds,j2pW ,IBUPROFEN 400mg capsules
Painful condition meds,j2pX ,ANADIN ULTRA DOUBLE STRENGTH 400mg liquid capsules
Painful condition meds,j2pY ,GALPHARM MAXIMUM STRENGTH IBUPROFEN 400mg liquid capsules
Painful condition meds,j2pZ ,IBUCALM 200mg tablets
Painful condition meds,j2pa ,IBUCALM 400mg tablets
Painful condition meds,j2pb ,NUROFEN EXPRESS SOLUBLE 400mg/sachet oral powder
Painful condition meds,j2pc ,IBUPROFEN 400mg/sachet oral powder
Painful condition meds,j2r ,DICLOFENAC POTASSIUM
Painful condition meds,j2r1 ,VOLTAROL RAPID 25mg tablets
Painful condition meds,j2r2 ,VOLTAROL RAPID 50mg tablets
Painful condition meds,j2r3 ,VOLTAROL PAIN-EZE 12.5mg tablets
Painful condition meds,j2rx ,DICLOFENAC POTASSIUM 12.5mg tablets
Painful condition meds,j2ry ,DICLOFENAC POTASSIUM 25mg tablets
Painful condition meds,j2rz ,DICLOFENAC POTASSIUM 50mg tablets
Painful condition meds,jA2 ,CELECOXIB
Painful condition meds,jA21 ,CELEBREX 100mg capsules
Painful condition meds,jA22 ,CELEBREX 200mg capsules
Painful condition meds,jA23 ,ONSENAL 400mg capsules
Painful condition meds,jA2x ,CELECOXIB 400mg capsules
Painful condition meds,jA2y ,CELECOXIB 200mg capsules
Painful condition meds,jA2z ,CELECOXIB 100mg capsules
Painful condition meds,jA5 ,ETORICOXIB
Painful condition meds,jA51 ,ETORICOXIB 60mg tablets
Painful condition meds,jA52 ,ETORICOXIB 90mg tablets
Painful condition meds,jA53 ,ETORICOXIB 120mg tablets
Painful condition meds,jA54 ,ARCOXIA 60mg tablets
Painful condition meds,jA55 ,ARCOXIA 90mg tablets
Painful condition meds,jA56 ,ARCOXIA 120mg tablets
Painful condition meds,jA57 ,ARCOXIA 30mg tablets
Painful condition meds,jA58 ,ETORICOXIB 30mg tablets
Painful condition meds,o42 ,FENTANYL
Painful condition meds,o421 ,SUBLIMAZE 100micrograms/2mL injection
Painful condition meds,o422 ,SUBLIMAZE 500micrograms/10mL injection
Painful condition meds,o423 ,THALAMONAL 100micrograms injection
Painful condition meds,o424 ,FENTANYL 25micrograms/hr patches
Painful condition meds,o425 ,FENTANYL 50micrograms/hr patches
Painful condition meds,o426 ,FENTANYL 75micrograms/hr patches
Painful condition meds,o427 ,FENTANYL 100micrograms/hr patches
Painful condition meds,o428 ,DUROGESIC 25micrograms/hr patches
Painful condition meds,o429 ,DUROGESIC 50micrograms/hr patches
Painful condition meds,o42A ,DUROGESIC 75micrograms/hr patches
Painful condition meds,o42B ,DUROGESIC 100micrograms/hr patches
Painful condition meds,o42C ,ACTIQ 200micrograms lozenges
Painful condition meds,o42D ,ACTIQ 400micrograms lozenges
Painful condition meds,o42E ,ACTIQ 600micrograms lozenges
Painful condition meds,o42F ,ACTIQ 800micrograms lozenges
Painful condition meds,o42G ,ACTIQ 1200micrograms lozenges
Painful condition meds,o42H ,ACTIQ 1600micrograms lozenges
Painful condition meds,o42I ,DUROGESIC DTRANS 25micrograms/hr patches
Painful condition meds,o42J ,DUROGESIC DTRANS 50micrograms/hr patches
Painful condition meds,o42K ,DUROGESIC DTRANS 75micrograms/hr patches
Painful condition meds,o42L ,DUROGESIC DTRANS 100micrograms/hr patches
Painful condition meds,o42M ,TILOFYL 25micrograms/hour patches
Painful condition meds,o42N ,TILOFYL 50micrograms/hour patches
Painful condition meds,o42O ,TILOFYL 75micrograms/hour patches
Painful condition meds,o42P ,TILOFYL 100micrograms/hour patches
Painful condition meds,o42Q ,DUROGESIC DTRANS 12micrograms/hr patches
Painful condition meds,o42R ,FENTANYL 12micrograms/hr patches
Painful condition meds,o42S ,MATRIFEN 12micrograms/hr patches
Painful condition meds,o42T ,MATRIFEN 25micrograms/hr patches
Painful condition meds,o42U ,MATRIFEN 50micrograms/hr patches
Painful condition meds,o42V ,MATRIFEN 75micrograms/hr patches
Painful condition meds,o42W ,MATRIFEN 100micrograms/hr patches
Painful condition meds,o42X ,MEZOLAR MATRIX 12micrograms/hour patches
Painful condition meds,o42Y ,MEZOLAR MATRIX 25micrograms/hour patches
Painful condition meds,o42Z ,MEZOLAR MATRIX 50micrograms/hour patches
Painful condition meds,o42a ,MEZOLAR MATRIX 75micrograms/hour patches
Painful condition meds,o42b ,MEZOLAR MATRIX 100micrograms/hour patches
Painful condition meds,o42c ,IONSYS 40micrograms/dose iontophoretic transdermal system
Painful condition meds,o42d ,OSMACH 25micrograms/hour patches
Painful condition meds,o42e ,OSMACH 50micrograms/hour patches
Painful condition meds,o42f ,OSMACH 75micrograms/hour patches
Painful condition meds,o42g ,OSMACH 100micrograms/hour patches
Painful condition meds,o42h ,FENTALIS RESERVOIR 100micrograms/hr patches
Painful condition meds,o42i ,FENTALIS RESERVOIR 25micrograms/hr patches
Painful condition meds,o42j ,FENTALIS RESERVOIR 50micrograms/hr patches
Painful condition meds,o42k ,FENTALIS RESERVOIR 75micrograms/hr patches
Painful condition meds,o42l ,EFFENTORA 100micrograms buccal tablets
Painful condition meds,o42m ,FENTANYL 100micrograms buccal tablets
Painful condition meds,o42n ,EFFENTORA 200micrograms buccal tablets
Painful condition meds,o42o ,FENTANYL 200micrograms buccal tablets
Painful condition meds,o42p ,FENTANYL 40micrograms/dose iontophoretic transdermal system
Painful condition meds,o42q ,FENTANYL 1600micrograms lozenges
Painful condition meds,o42r ,FENTANYL 1200micrograms lozenges
Painful condition meds,o42s ,FENTANYL 800micrograms lozenges
Painful condition meds,o42t ,FENTANYL 600micrograms lozenges
Painful condition meds,o42u ,FENTANYL 400micrograms lozenges
Painful condition meds,o42v ,FENTANYL 200micrograms lozenges
Painful condition meds,o42w ,FENTANYL + DROPERIDOL 100micrograms/5mg injection
Painful condition meds,o42x ,FENTANYL 100microgram/2mL injection
Painful condition meds,o42y ,FENTANYL 500microgram/10mL injection
Painful condition meds,o42z ,FENTANYL 100micrograms injection
Painful condition meds,o4d ,FENTANYL (2)
Painful condition meds,o4d1 ,EFFENTORA 400micrograms buccal tablets
Painful condition meds,o4d2 ,FENTANYL 400micrograms buccal tablets
Painful condition meds,o4d3 ,EFFENTORA 600micrograms buccal tablets
Painful condition meds,o4d4 ,FENTANYL 600micrograms buccal tablets
Painful condition meds,o4d5 ,EFFENTORA 800micrograms buccal tablets
Painful condition meds,o4d6 ,FENTANYL 800micrograms buccal tablets
Painful condition meds,o4d7 ,ABSTRAL 100micrograms sublingual tablets
Painful condition meds,o4d8 ,FENTANYL 100micrograms sublingual tablets
Painful condition meds,o4d9 ,ABSTRAL 200micrograms sublingual tablets
Painful condition meds,o4dA ,FENTANYL 400micrograms nasal spray
Painful condition meds,o4dB ,FENCINO 12micrograms/hr patches
Painful condition meds,o4dC ,FENCINO 25micrograms/hr patches
Painful condition meds,o4dD ,FENCINO 50micrograms/hr patches
Painful condition meds,o4dE ,FENCINO 75micrograms/hr patches
Painful condition meds,o4dF ,FENCINO 100micrograms/hr patches
Painful condition meds,o4dG ,BREAKYL 200micrograms buccal film
Painful condition meds,o4dH ,FENTANYL 200micrograms buccal film
Painful condition meds,o4dI ,BREAKYL 400micrograms buccal film
Painful condition meds,o4dJ ,FENTANYL 400micrograms buccal film
Painful condition meds,o4dK ,BREAKYL 800micrograms buccal film
Painful condition meds,o4dL ,FENTANYL 800micrograms buccal film
Painful condition meds,o4dM ,RECIVIT 67micrograms sublingual tablets
Painful condition meds,o4dN ,FENTANYL 67micrograms sublingual tablets
Painful condition meds,o4dO ,RECIVIT 133micrograms sublingual tablets
Painful condition meds,o4dP ,FENTANYL 133micrograms sublingual tablets
Painful condition meds,o4dQ ,RECIVIT 267micrograms sublingual tablets
Painful condition meds,o4dR ,FENTANYL 267micrograms sublingual tablets
Painful condition meds,o4dS ,RECIVIT 400micrograms sublingual tablets
Painful condition meds,o4dT ,RECIVIT 533micrograms sublingual tablets
Painful condition meds,o4dU ,FENTANYL 533micrograms sublingual tablets
Painful condition meds,o4dV ,RECIVIT 800micrograms sublingual tablets
Painful condition meds,o4dW ,OPIODUR 12micrograms/hour transdermal patches
Painful condition meds,o4dX ,OPIODUR 25micrograms/hour transdermal patches
Painful condition meds,o4dY ,OPIODUR 50micrograms/hour transdermal patches
Painful condition meds,o4dZ ,OPIODUR 75micrograms/hour transdermal patches
Painful condition meds,o4da ,FENTANYL 200micrograms sublingual tablets
Painful condition meds,o4db ,ABSTRAL 300micrograms sublingual tablets
Painful condition meds,o4dc ,FENTANYL 300micrograms sublingual tablets
Painful condition meds,o4dd ,ABSTRAL 400micrograms sublingual tablets
Painful condition meds,o4de ,FENTANYL 400micrograms sublingual tablets
Painful condition meds,o4df ,ABSTRAL 600micrograms sublingual tablets
Painful condition meds,o4dg ,FENTANYL 600micrograms sublingual tablets
Painful condition meds,o4dh ,ABSTRAL 800micrograms sublingual tablets
Painful condition meds,o4di ,FENTANYL 800micrograms sublingual tablets
Painful condition meds,o4dj ,OSMANIL 25micrograms/hr patches
Painful condition meds,o4dk ,OSMANIL 50micrograms/hr patches
Painful condition meds,o4dl ,OSMANIL 75micrograms/hr patches
Painful condition meds,o4dm ,OSMANIL 100micrograms/hr patches
Painful condition meds,o4dn ,VICTANYL 25micrograms/hour patches
Painful condition meds,o4do ,VICTANYL 50micrograms/hour patches
Painful condition meds,o4dp ,VICTANYL 75micrograms/hour patches
Painful condition meds,o4dq ,VICTANYL 100micrograms/hour patches
Painful condition meds,o4dr ,OSMANIL 12micrograms/hr patches
Painful condition meds,o4ds ,INSTANYL 50micrograms nasal spray
Painful condition meds,o4dt ,FENTANYL 50micrograms nasal spray
Painful condition meds,o4du ,INSTANYL 100micrograms nasal spray
Painful condition meds,o4dv ,FENTANYL 100micrograms nasal spray
Painful condition meds,o4dw ,INSTANYL 200micrograms nasal spray
Painful condition meds,o4dx ,FENTANYL 200micrograms nasal spray
Painful condition meds,o4dy ,PECFENT 100micrograms nasal spray
Painful condition meds,o4dz ,PECFENT 400micrograms nasal spray
Painful condition meds,o4e ,FENTANYL (3)
Painful condition meds,o4e1 ,OPIODUR 100micrograms/hour transdermal patches
Painful condition meds,o4e2 ,MEZOLAR MATRIX 37.5micrograms/hour patches
Painful condition meds,o4e3 ,FENTANYL 37.5micrograms/hour transdermal patches
Painful condition meds,o4e4 ,YEMEX 12micrograms/hour transdermal patches
Painful condition meds,o4e5 ,YEMEX 25micrograms/hour transdermal patches
Painful condition meds,o4e6 ,YEMEX 50micrograms/hour transdermal patches
Painful condition meds,o4e7 ,YEMEX 75micrograms/hour transdermal patches
Painful condition meds,o4e8 ,YEMEX 100micrograms/hour transdermal patches
Epilepsy,F1321,Progressive myoclonic epilepsy
Epilepsy,F25,Epilepsy
Epilepsy,F250,Generalised nonconvulsive epilepsy
Epilepsy,F2500,Petit mal (minor) epilepsy
Epilepsy,F2502,Epileptic seizures - atonic
Epilepsy,F2503,Epileptic seizures - akinetic
Epilepsy,F2505,Lennox-Gastaut syndrome
Epilepsy,F250y,Other specified generalised nonconvulsive epilepsy
Epilepsy,F250z,Generalised nonconvulsive epilepsy NOS
Epilepsy,F251,Generalised convulsive epilepsy
Epilepsy,F2510,Grand mal (major) epilepsy
Epilepsy,F2512,Epileptic seizures - clonic
Epilepsy,F2513,Epileptic seizures - myoclonic
Epilepsy,F2514,Epileptic seizures - tonic
Epilepsy,F2515,Tonic-clonic epilepsy
Epilepsy,F251y,Other specified generalised convulsive epilepsy
Epilepsy,F251z,Generalised convulsive epilepsy NOS
Epilepsy,F252,Petit mal status
Epilepsy,F253,Grand mal status
Epilepsy,F254,Partial epilepsy with impairment of consciousness
Epilepsy,F2540,Temporal lobe epilepsy
Epilepsy,F2541,Psychomotor epilepsy
Epilepsy,F2542,Psychosensory epilepsy
Epilepsy,F2543,Limbic system epilepsy
Epilepsy,F2544,Epileptic automatism
Epilepsy,F2545,Complex partial epileptic seizure
Epilepsy,F254z,Partial epilepsy with impairment of consciousness NOS
Epilepsy,F255,Partial epilepsy without impairment of consciousness
Epilepsy,F2550,"Jacksonian, focal or motor epilepsy"
Epilepsy,F2551,Sensory induced epilepsy
Epilepsy,F2552,Somatosensory epilepsy
Epilepsy,F2553,Visceral reflex epilepsy
Epilepsy,F2554,Visual reflex epilepsy
Epilepsy,F2555,Unilateral epilepsy
Epilepsy,F2556,Simple partial epileptic seizure
Epilepsy,F255y,Partial epilepsy without impairment of consciousness OS
Epilepsy,F255z,Partial epilepsy without impairment of consciousness NOS
Epilepsy,F256,Infantile spasms
Epilepsy,F2560,Hypsarrhythmia
Epilepsy,F2561,Salaam attacks
Epilepsy,F256z,Infantile spasms NOS
Epilepsy,F257,Kojevnikov's epilepsy
Epilepsy,F25B,Alcohol-induced epilepsy
Epilepsy,F25C,Drug-induced epilepsy
Epilepsy,F25D,Menstrual epilepsy
Epilepsy,F25E,Stress-induced epilepsy
Epilepsy,F25F,Photosensitive epilepsy
Epilepsy,F25X,"Status epilepticus, unspecified"
Epilepsy,F25y,Other forms of epilepsy
Epilepsy,F25y0,Cursive (running) epilepsy
Epilepsy,F25y1,Gelastic epilepsy
Epilepsy,F25y2,Locl-rlt(foc)(part)idiop epilep&epilptic syn seiz locl onset
Epilepsy,F25y3,Complex partial status epilepticus
Epilepsy,F25y5,Panayiotopoulos syndrome
Epilepsy,F25yz,Other forms of epilepsy NOS
Epilepsy,F25z,Epilepsy NOS
Epilepsy,SC200,Traumatic epilepsy
Epilepsy resolved,21260,Epilepsy resolved
Epilepsy resolved,212J,Epilepsy resolved
